p,eta
1013.250000000000000,1.000000000000000
1000.000000000000000,0.986923266716013
990.000000000000000,0.977054034048853
980.000000000000000,0.967184801381693
970.000000000000000,0.957315568714532
960.000000000000000,0.947446336047372
950.000000000000000,0.937577103380212
940.000000000000000,0.927707870713052
930.000000000000000,0.917838638045892
925.000000000000000,0.912904021712312
920.000000000000000,0.907969405378732
910.000000000000000,0.898100172711572
900.000000000000000,0.888230940044411
890.000000000000000,0.878361707377251
880.000000000000000,0.868492474710091
870.000000000000000,0.858623242042931
860.000000000000000,0.848754009375771
850.000000000000000,0.838884776708611
840.000000000000000,0.829015544041451
830.000000000000000,0.819146311374291
820.000000000000000,0.809277078707131
810.000000000000000,0.799407846039970
800.000000000000000,0.789538613372810
790.000000000000000,0.779669380705650
780.000000000000000,0.769800148038490
770.000000000000000,0.759930915371330
760.000000000000000,0.750061682704170
750.000000000000000,0.740192450037010
740.000000000000000,0.730323217369850
730.000000000000000,0.720453984702689
720.000000000000000,0.710584752035529
710.000000000000000,0.700715519368369
700.000000000000000,0.690846286701209
690.000000000000000,0.680977054034049
680.000000000000000,0.671107821366889
670.000000000000000,0.661238588699729
660.000000000000000,0.651369356032569
650.000000000000000,0.641500123365408
640.000000000000000,0.631630890698248
630.000000000000000,0.621761658031088
620.000000000000000,0.611892425363928
610.000000000000000,0.602023192696768
600.000000000000000,0.592153960029608
590.000000000000000,0.582284727362448
580.000000000000000,0.572415494695287
570.000000000000000,0.562546262028127
560.000000000000000,0.552677029360967
550.000000000000000,0.542807796693807
540.000000000000000,0.532938564026647
530.000000000000000,0.523069331359487
520.000000000000000,0.513200098692327
510.000000000000000,0.503330866025167
500.000000000000000,0.493461633358006
490.000000000000000,0.483592400690846
480.000000000000000,0.473723168023686
470.000000000000000,0.463853935356526
460.000000000000000,0.453984702689366
450.000000000000000,0.444115470022206
440.000000000000000,0.434246237355046
430.000000000000000,0.424377004687886
420.000000000000000,0.414507772020725
410.000000000000000,0.404638539353565
400.000000000000000,0.394769306686405
390.000000000000000,0.384900074019245
380.000000000000000,0.375030841352085
370.000000000000000,0.365161608684925
360.000000000000000,0.355292376017765
350.000000000000000,0.345423143350604
340.000000000000000,0.335553910683444
330.000000000000000,0.325684678016284
320.000000000000000,0.315815445349124
310.000000000000000,0.305946212681964
300.000000000000000,0.296076980014804
290.000000000000000,0.286207747347644
280.000000000000000,0.276338514680484
270.000000000000000,0.266469282013323
260.000000000000000,0.256600049346163
250.000000000000000,0.246730816679003
240.000000000000000,0.236861584011843
230.000000000000000,0.226992351344683
220.000000000000000,0.217123118677523
210.000000000000000,0.207253886010363
200.000000000000000,0.197384653343203
190.000000000000000,0.187515420676042
180.000000000000000,0.177646188008882
170.000000000000000,0.167776955341722
160.000000000000000,0.157907722674562
150.000000000000000,0.148038490007402
140.000000000000000,0.138169257340242
130.000000000000000,0.128300024673082
120.000000000000000,0.118430792005922
110.000000000000000,0.108561559338761
100.000000000000000,0.098692326671601
90.000000000000000,0.088823094004441
80.000000000000000,0.078953861337281
70.000000000000000,0.069084628670121
60.000000000000000,0.059215396002961
50.000000000000000,0.049346163335801
40.000000000000000,0.039476930668641
30.000000000000000,0.029607698001480
20.000000000000000,0.019738465334320
10.000000000000000,0.009869232667160
