lat_deg,lat_rad
72.0000000000,1.2566370614
71.7500000000,1.2522737383
71.5000000000,1.2479104152
71.2500000000,1.2435470920
71.0000000000,1.2391837689
70.7500000000,1.2348204458
70.5000000000,1.2304571227
70.2500000000,1.2260937995
70.0000000000,1.2217304764
69.7500000000,1.2173671533
69.5000000000,1.2130038301
69.2500000000,1.2086405070
69.0000000000,1.2042771839
68.7500000000,1.1999138607
68.5000000000,1.1955505376
68.2500000000,1.1911872145
68.0000000000,1.1868238914
67.7500000000,1.1824605682
67.5000000000,1.1780972451
67.2500000000,1.1737339220
67.0000000000,1.1693705988
66.7500000000,1.1650072757
66.5000000000,1.1606439526
66.2500000000,1.1562806294
66.0000000000,1.1519173063
65.7500000000,1.1475539832
65.5000000000,1.1431906601
65.2500000000,1.1388273369
65.0000000000,1.1344640138
64.7500000000,1.1301006907
64.5000000000,1.1257373675
64.2500000000,1.1213740444
64.0000000000,1.1170107213
63.7500000000,1.1126473981
63.5000000000,1.1082840750
63.2500000000,1.1039207519
63.0000000000,1.0995574288
62.7500000000,1.0951941056
62.5000000000,1.0908307825
62.2500000000,1.0864674594
62.0000000000,1.0821041362
61.7500000000,1.0777408131
61.5000000000,1.0733774900
61.2500000000,1.0690141668
61.0000000000,1.0646508437
60.7500000000,1.0602875206
60.5000000000,1.0559241975
60.2500000000,1.0515608743
60.0000000000,1.0471975512
59.7500000000,1.0428342281
59.5000000000,1.0384709049
59.2500000000,1.0341075818
59.0000000000,1.0297442587
58.7500000000,1.0253809355
58.5000000000,1.0210176124
58.2500000000,1.0166542893
58.0000000000,1.0122909662
57.7500000000,1.0079276430
57.5000000000,1.0035643199
57.2500000000,0.9992009968
57.0000000000,0.9948376736
56.7500000000,0.9904743505
56.5000000000,0.9861110274
56.2500000000,0.9817477042
56.0000000000,0.9773843811
55.7500000000,0.9730210580
55.5000000000,0.9686577349
55.2500000000,0.9642944117
55.0000000000,0.9599310886
54.7500000000,0.9555677655
54.5000000000,0.9512044423
54.2500000000,0.9468411192
54.0000000000,0.9424777961
53.7500000000,0.9381144729
53.5000000000,0.9337511498
53.2500000000,0.9293878267
53.0000000000,0.9250245036
52.7500000000,0.9206611804
52.5000000000,0.9162978573
52.2500000000,0.9119345342
52.0000000000,0.9075712110
51.7500000000,0.9032078879
51.5000000000,0.8988445648
51.2500000000,0.8944812416
51.0000000000,0.8901179185
50.7500000000,0.8857545954
50.5000000000,0.8813912723
50.2500000000,0.8770279491
50.0000000000,0.8726646260
49.7500000000,0.8683013029
49.5000000000,0.8639379797
49.2500000000,0.8595746566
49.0000000000,0.8552113335
48.7500000000,0.8508480103
48.5000000000,0.8464846872
48.2500000000,0.8421213641
48.0000000000,0.8377580410
47.7500000000,0.8333947178
47.5000000000,0.8290313947
47.2500000000,0.8246680716
47.0000000000,0.8203047484
46.7500000000,0.8159414253
46.5000000000,0.8115781022
46.2500000000,0.8072147790
46.0000000000,0.8028514559
45.7500000000,0.7984881328
45.5000000000,0.7941248097
45.2500000000,0.7897614865
45.0000000000,0.7853981634
44.7500000000,0.7810348403
44.5000000000,0.7766715171
44.2500000000,0.7723081940
44.0000000000,0.7679448709
43.7500000000,0.7635815477
43.5000000000,0.7592182246
43.2500000000,0.7548549015
43.0000000000,0.7504915784
42.7500000000,0.7461282552
42.5000000000,0.7417649321
42.2500000000,0.7374016090
42.0000000000,0.7330382858
41.7500000000,0.7286749627
41.5000000000,0.7243116396
41.2500000000,0.7199483164
41.0000000000,0.7155849933
40.7500000000,0.7112216702
40.5000000000,0.7068583471
40.2500000000,0.7024950239
40.0000000000,0.6981317008
39.7500000000,0.6937683777
39.5000000000,0.6894050545
39.2500000000,0.6850417314
39.0000000000,0.6806784083
38.7500000000,0.6763150851
38.5000000000,0.6719517620
38.2500000000,0.6675884389
38.0000000000,0.6632251158
37.7500000000,0.6588617926
37.5000000000,0.6544984695
37.2500000000,0.6501351464
37.0000000000,0.6457718232
36.7500000000,0.6414085001
36.5000000000,0.6370451770
36.2500000000,0.6326818538
36.0000000000,0.6283185307
35.7500000000,0.6239552076
35.5000000000,0.6195918845
35.2500000000,0.6152285613
35.0000000000,0.6108652382
34.7500000000,0.6065019151
34.5000000000,0.6021385919
34.2500000000,0.5977752688
34.0000000000,0.5934119457
33.7500000000,0.5890486225
33.5000000000,0.5846852994
33.2500000000,0.5803219763
33.0000000000,0.5759586532
32.7500000000,0.5715953300
32.5000000000,0.5672320069
32.2500000000,0.5628686838
32.0000000000,0.5585053606
31.7500000000,0.5541420375
31.5000000000,0.5497787144
31.2500000000,0.5454153912
31.0000000000,0.5410520681
30.7500000000,0.5366887450
30.5000000000,0.5323254219
30.2500000000,0.5279620987
30.0000000000,0.5235987756
29.7500000000,0.5192354525
29.5000000000,0.5148721293
29.2500000000,0.5105088062
29.0000000000,0.5061454831
28.7500000000,0.5017821599
28.5000000000,0.4974188368
28.2500000000,0.4930555137
28.0000000000,0.4886921906
27.7500000000,0.4843288674
27.5000000000,0.4799655443
27.2500000000,0.4756022212
27.0000000000,0.4712388980
26.7500000000,0.4668755749
26.5000000000,0.4625122518
26.2500000000,0.4581489286
26.0000000000,0.4537856055
25.7500000000,0.4494222824
25.5000000000,0.4450589593
25.2500000000,0.4406956361
25.0000000000,0.4363323130
24.7500000000,0.4319689899
24.5000000000,0.4276056667
