p,eta
1013.250000000000000,1.000000000000000
1000.000000000000000,0.986923266716013
925.000000000000000,0.912904021712312
850.000000000000000,0.838884776708611
750.000000000000000,0.740192450037010
700.000000000000000,0.690846286701209
600.000000000000000,0.592153960029608
500.000000000000000,0.493461633358006
400.000000000000000,0.394769306686405
300.000000000000000,0.296076980014804
250.000000000000000,0.246730816679003
200.000000000000000,0.197384653343203
150.000000000000000,0.148038490007402
100.000000000000000,0.098692326671601
50.000000000000000,0.049346163335801
